cust_id,No_of_days_frm_L_pur,total_sale,No_baskets,item_cnt,no_SKUs,no_Categories,avg_no_prds_w_ret,Flag_Multi_cat_p2
347,3,444,4,47,25,5,11.75,0
585,320,509871.48,27,19322,531,68,715.6296296,0
885,115,2284.59,4,247,130,17,61.75,1
1670,3,8092.17,28,553,306,114,19.75,1
2188,428,200.5,1,51,14,2,51,0
2534,389,1500,4,28,16,9,7,0
3934,266,346,2,56,10,3,28,0
4271,264,152.7,2,31,5,3,15.5,0
4435,212,1748.14,4,26,18,9,6.5,0
4448,128,258.68,2,21,19,4,10.5,1
4468,23,2428.63,10,76,42,26,7.6,1
4546,83,208.8,1,13,10,3,13,1
4576,396,174.9,1,12,9,4,12,0
4682,100,2037.04,8,485,135,13,60.625,1
4692,20,2726.71,13,114,74,33,8.769230769,1
4784,13,16500.54,36,1241,440,122,34.47222222,1
4833,22,346.3,2,16,14,5,8,1
6762,76,276.7,2,49,6,2,24.5,0
6965,316,230.96,2,17,8,6,8.5,0
7611,2,2463.8,15,218,82,36,14.53333333,1
7620,73,134.9,1,11,1,1,11,0
7715,36,100.7,1,9,8,2,9,1
8137,126,49.8,1,4,2,1,4,0
8343,36,297.48,2,44,13,6,22,1
8589,317,101.4,1,26,1,1,26,0
8784,454,94.71,1,6,4,2,6,0
9176,12,204.4,2,16,14,4,8,1
9247,219,932.98,3,113,30,10,37.66666667,0
9361,255,206,2,37,17,5,18.5,0
10035,282,240.5,2,33,15,10,16.5,0
10176,102,225.2,2,17,8,5,8.5,1
10214,1,925.91,5,56,33,12,11.2,1
10588,7,10680.75,45,498,311,126,11.06666667,1
10956,39,3756.52,5,28,22,6,5.6,1
11868,35,2748.5,21,250,137,60,11.90476191,1
12571,10,445.68,4,58,36,11,14.5,1
12845,115,655.7,5,38,16,8,7.6,1
12937,450,151.48,1,12,1,1,12,0
13367,0,85299.23,50,2108,369,147,42.16,1
13863,232,122.3,1,16,8,2,16,0
14027,52,2076.63,10,175,136,38,17.5,1
14424,342,1039.65,7,61,49,17,8.714285714,0
14861,39,565.57,5,29,24,14,5.8,1
15106,17,1270.51,8,95,58,20,11.875,1
15346,0,575.02,5,28,11,7,5.6,1
15567,263,172.5,2,43,34,5,21.5,0
17039,1,6672.5,18,220,107,50,12.22222222,1
17040,235,976.6,4,29,20,14,7.25,0
18233,80,3208.61,8,63,49,22,7.875,1
18406,5,3472.21,10,327,190,35,32.7,1
18493,61,2124.74,17,207,137,45,12.17647059,1
19700,41,327.3,3,31,13,3,10.33333333,1
20840,355,681.87,4,33,23,10,8.25,0
21180,13,2279.18,13,192,34,23,14.76923077,1
21260,84,5974.48,45,660,328,132,14.66666667,1
21318,4,3596.09,17,197,105,47,11.58823529,1
21879,18,1324.05,6,116,21,10,19.33333333,1
22164,7,3740.43,9,162,80,32,18,1
22589,192,1299.05,9,137,59,23,15.22222222,0
22602,26,1641.25,8,60,43,20,7.5,1
22958,4,3843.83,16,160,93,45,10,1
22966,353,300.19,3,45,22,13,15,0
22998,74,1838.9,10,174,80,23,17.4,1
23121,9,10774.22,28,770,358,105,27.5,1
24264,19,2540.59,17,209,135,49,12.29411765,1
24720,11,3182.1,16,128,65,33,8,1
24998,19,150,1,3,3,1,3,0
25499,28,6665.31,28,529,173,67,18.89285714,1
25742,213,976.92,6,74,66,18,12.33333333,0
25858,34,1849.6,9,188,78,22,20.88888889,1
26395,46,807.8,6,75,27,11,12.5,1
26645,68,1072.27,4,21,19,11,5.25,1
27406,264,790.3,4,61,29,12,15.25,0
28013,34,4128.69,5,102,34,14,20.4,1
28254,9,1865.96,9,101,49,22,11.22222222,1
28706,31,1097.56,8,236,51,19,29.5,1
29229,356,622.95,3,27,21,9,9,0
29345,12,2391.12,17,177,163,69,10.41176471,1
30639,82,194.8,2,14,12,6,7,1
31346,393,146.3,1,3,3,3,3,0
31691,63,918.07,7,54,40,17,7.714285714,1
31707,0,18.93,1,9,9,4,9,1
31925,242,186.8,2,13,7,3,6.5,0
31926,18,1950.98,10,146,88,29,14.6,1
34287,200,221.3,2,15,5,3,7.5,0
35276,148,2999.01,8,221,129,31,27.625,1
37858,185,229.5,2,4,4,2,2,0
39831,4,2807.76,17,150,72,33,8.823529412,1
40903,13,1081,6,115,20,9,19.16666667,0
40907,42,1253.05,9,240,104,32,26.66666667,1
41819,387,128,1,2,2,1,2,0
42764,51,3515.58,15,336,136,47,22.4,1
42894,13,2991.27,20,184,164,77,9.2,1
43653,55,100.1,1,5,5,2,5,1
44052,9,3394.71,14,348,194,52,24.85714286,1
44318,252,326.98,3,23,13,7,7.666666667,0
46065,142,2276.22,12,126,68,34,10.5,1
47238,97,2421.32,14,99,73,30,7.071428571,1
53265,161,115.7,1,7,4,1,7,0
54934,19,5372.18,19,955,270,52,50.2631579,1
55732,56,546.06,3,75,34,12,25,1
55937,443,212.56,1,3,2,1,3,0
57214,138,266.2,2,13,13,5,6.5,1
59701,30,247.9,2,12,5,3,6,1
61367,19,1293.83,8,107,60,19,13.375,1
63954,78,2159,1,1,1,1,1,0
64114,29,1486.84,11,116,100,39,10.54545455,1
64199,426,375.9,1,8,7,4,8,0
64690,17,1995.74,15,131,98,33,8.733333333,1
67754,94,722.65,7,44,36,14,6.285714286,1
68151,19,2049.66,16,127,107,44,7.9375,1
68772,232,875.5,6,28,24,12,4.666666667,0
69247,59,642.35,2,30,18,7,15,1
69527,422,326.78,2,60,30,5,30,0
69570,265,1222.7,11,127,77,31,11.54545455,0
72074,2,4077.97,24,242,195,83,10.08333333,1
74999,37,1008.1,8,131,52,25,16.375,1
75016,342,101.39,1,13,9,3,13,0
75125,88,167.3,2,5,5,4,2.5,1
77362,16,2105.41,10,117,54,19,11.7,1
79522,97,417.52,3,30,10,6,10,0
80778,451,459.7,1,51,7,3,51,0
82939,2,16909.64,67,1503,605,233,22.43283582,1
83678,120,3448.56,14,253,111,45,18.07142857,1
83751,355,420.2,2,19,10,4,9.5,0
84117,102,1608.56,10,76,49,21,7.6,1
84175,188,118,1,5,5,5,5,0
84859,35,1172.45,10,106,52,30,10.6,1
85535,66,100,1,10,4,3,10,1
85635,26,2619.55,18,300,194,64,16.66666667,1
85896,78,229,1,1,1,1,1,0
85947,166,128.56,1,27,14,3,27,1
86082,33,7521.33,23,311,182,57,13.52173913,1
86265,6,1143.85,6,81,57,17,13.5,1
90868,29,9689.55,30,586,218,80,19.53333333,1
91698,11,4486.14,13,73,44,25,5.615384615,1
91865,34,4261.04,3,52,34,8,17.33333333,1
91946,38,10839.65,9,29,23,17,3.222222222,1
92536,43,2823.16,7,24,17,9,3.428571429,1
92853,31,1754,11,119,70,34,10.81818182,1
93216,19,1439.47,11,226,164,35,20.54545455,1
93630,58,1114.8,7,25,24,15,3.571428571,1
93939,27,1994.65,9,72,64,18,8,1
94276,407,117.1,1,9,6,2,9,0
98766,186,107.8,1,13,13,2,13,0
103566,257,114.5,1,19,11,3,19,0
104921,26,5297.44,20,328,175,55,16.4,1
105910,422,419.3,2,47,31,8,23.5,0
105986,0,14140.26,44,1041,440,159,23.65909091,1
106554,200,120,1,12,1,1,12,0
107166,127,1998.13,8,29,22,12,3.625,1
109619,313,216.23,2,18,12,5,9,0
112008,74,5282.27,19,292,206,53,15.36842105,1
112326,16,4663.76,21,307,147,58,14.61904762,1
113115,10,10804.1,30,392,179,82,13.06666667,1
113324,278,1924.85,10,272,49,27,27.2,0
113782,31,5655.28,38,574,272,112,15.10526316,1
114748,96,1317.75,9,100,65,25,11.11111111,0
117153,22,1543.38,11,128,91,40,11.63636364,1
118260,71,1182.9,6,47,17,10,7.833333333,0
119884,11,96517.68,33,849,78,49,25.72727273,1
120762,17,499.4,3,41,27,9,13.66666667,1
120975,11,1701.8,13,129,106,39,9.923076923,1
123104,57,5913.35,13,396,115,43,30.46153846,1
123250,23,617.57,4,77,15,8,19.25,1
125260,416,90.81,1,11,7,4,11,0
126116,54,100.38,1,10,7,3,10,1
126442,63,416.9,4,39,4,4,9.75,0
126650,88,1299.28,8,110,24,16,13.75,1
126675,135,344.02,1,3,3,2,3,1
127470,22,4880.31,16,64,54,29,4,1
129818,359,181.2,1,9,7,3,9,0
130047,306,390.2,1,24,6,2,24,0
132678,96,940.61,5,33,27,11,6.6,1
133847,68,768.34,7,65,47,16,9.285714286,1
134461,2,6317.74,44,520,337,121,11.81818182,1
135294,34,219,1,1,1,1,1,0
136000,303,104.9,1,11,2,1,11,0
136040,151,910.31,4,134,40,12,33.5,1
136169,11,565.39,4,36,6,4,9,1
136211,214,280.55,1,2,1,1,2,0
136217,278,589.63,5,68,46,19,13.6,0
137146,37,1871.12,4,125,49,13,31.25,0
137596,325,204.1,2,32,8,4,16,0
138079,4,5921.72,25,944,164,70,37.76,1
139214,269,835.6,1,77,36,5,77,0
141991,9,1352.36,5,82,55,13,16.4,0
143937,213,473.56,4,40,24,9,10,0
146560,89,4408.62,19,163,120,66,8.578947368,1
147807,141,109.18,1,20,17,3,20,1
148177,159,528.84,3,27,22,8,9,1
148925,4,2870.85,19,223,112,46,11.73684211,1
149857,33,5473.71,6,54,14,7,9,1
152345,2,4859.55,16,448,220,60,28,1
152698,211,351.5,1,10,4,2,10,0
155112,10,689.46,5,52,32,22,10.4,1
157445,65,3107.69,20,483,186,48,24.15,1
163993,1,1675.54,10,86,66,20,8.6,1
164615,190,106.4,1,8,8,1,8,0
165345,18,935.25,5,78,50,14,15.6,1
166217,80,426.85,3,18,14,8,6,1
168347,6,7554,5,219,32,11,43.8,1
168996,345,283.62,2,30,4,3,15,0
170586,9,5141.86,31,439,124,45,14.16129032,1
170705,2,3940.32,20,120,87,45,6,1
170808,62,2476.27,10,140,100,33,14,1
173348,16,11086.17,18,256,86,33,14.22222222,1
176141,141,8563.87,21,583,130,50,27.76190476,1
176295,128,1963.7,6,67,26,15,11.16666667,0
177098,20,9240.14,36,470,243,121,13.05555556,1
178917,139,1151.72,5,110,67,17,22,1
181091,11,556.4,4,81,34,13,20.25,1
181886,321,238.26,2,17,15,6,8.5,0
182298,8,6633.3,28,419,201,96,14.96428571,1
182369,3,9692.74,29,298,127,67,10.27586207,1
183452,400,101.9,1,15,14,4,15,0
183552,36,1141.13,3,19,15,7,6.333333333,1
184319,40,229.35,2,9,5,4,4.5,1
185082,40,100.6,1,26,3,1,26,0
186890,135,253.91,2,51,15,6,25.5,1
188708,140,2238.82,10,331,79,35,33.1,1
189128,80,898.39,5,146,62,14,29.2,1
189546,100,1274.99,9,72,33,21,8,0
190137,442,197.49,1,8,8,2,8,0
191673,12,3740.28,20,225,129,57,11.25,1
191917,379,204.54,2,28,11,8,14,0
192745,221,3447.22,24,248,129,68,10.33333333,0
192911,61,454.77,4,92,40,12,23,0
193082,3,2815.27,23,199,137,69,8.652173913,1
193243,2,1184.11,9,91,72,18,10.11111111,1
193922,25,230,1,17,2,2,17,1
194174,2,3977.75,31,313,204,79,10.09677419,1
194946,213,4935.12,3,16,14,8,5.333333333,0
194984,415,576,1,80,1,1,80,0
195602,19,1543.67,10,184,38,19,18.4,1
195977,26,8381.77,23,707,416,48,30.73913044,1
196176,86,922.2,1,15,3,2,15,1
196484,160,198,1,2,1,1,2,0
197304,11,907.7,6,54,33,15,9,1
197744,13,2743.92,20,185,123,42,9.25,1
198338,4,2099.64,13,147,37,20,11.30769231,1
199141,41,4841.04,13,440,171,55,33.84615385,1
200574,14,6115.94,25,426,223,53,17.04,1
203967,82,220.7,2,13,3,2,6.5,0
204961,71,108.29,1,5,5,2,5,1
205910,2,4406.57,32,423,287,91,13.21875,1
208531,58,967.26,4,67,27,12,16.75,1
211204,132,722.4,6,31,23,10,5.166666667,1
211348,17,643.3,4,15,8,5,3.75,1
211659,31,2228.5,10,133,12,11,13.3,0
211726,7,493.28,4,101,25,13,25.25,1
212354,7,3188,18,231,129,57,12.83333333,1
213269,284,129,1,2,1,1,2,0
213478,391,125.8,1,5,5,3,5,0
214281,399,116,1,7,3,1,7,0
214623,18,5838,18,257,128,30,14.27777778,1
218241,20,4101.2,13,358,137,48,27.53846154,1
218601,61,723.18,2,17,4,2,8.5,0
218691,5,6034.74,51,713,328,128,13.98039216,1
219754,24,4693.27,26,542,256,83,20.84615385,1
220159,128,1542.49,12,74,38,23,6.166666667,0
221395,2,7813.96,39,815,433,129,20.8974359,1
222352,109,209.81,2,34,19,4,17,1
223955,169,143.55,2,12,7,4,6,0
224219,298,113.08,1,7,4,2,7,0
224349,171,529.41,2,51,6,3,25.5,1
225418,6,1657.82,9,71,42,25,7.888888889,1
226128,18,585.03,5,43,33,10,8.6,0
226587,60,623.6,3,39,30,11,13,1
230769,28,753.46,5,44,5,5,8.8,1
231566,36,107.1,1,102,5,2,102,1
232330,10,2565.84,23,240,155,68,10.43478261,1
232624,421,196.6,2,3,2,2,1.5,0
233541,59,1933.48,3,31,23,8,10.33333333,1
234541,64,634.82,3,42,16,7,14,1
234785,4,1079.81,8,80,55,27,10,1
234898,58,1348.64,5,82,63,16,16.4,1
236301,333,400.14,4,26,16,11,6.5,0
236358,337,636.5,4,51,43,7,12.75,0
236756,35,4089,2,7,7,3,3.5,0
237184,37,563.74,4,55,37,13,13.75,1
237526,98,859.07,7,64,53,20,9.142857143,1
237645,14,17317.19,33,864,230,87,26.18181818,1
237869,24,298.35,1,22,7,3,22,1
238606,52,3564.56,7,139,74,31,19.85714286,1
239425,76,2059,2,54,6,4,27,1
247606,35,1110.64,4,103,78,16,25.75,1
253090,10,12013.44,34,462,228,100,13.58823529,1
255306,404,122.9,1,6,2,2,6,0
259266,14,1766.47,7,110,97,26,15.71428571,1
263125,125,1284.78,8,64,25,15,8,1
267725,83,663.4,5,64,35,16,12.8,1
267886,23,712.2,6,44,38,18,7.333333333,1
278665,307,232.79,2,13,5,4,6.5,0
288865,238,62.4,1,12,2,1,12,0
294655,142,105.24,1,33,5,2,33,1
295360,53,281.93,2,39,15,5,19.5,1
303753,10,5434.2,31,594,234,92,19.16129032,1
304778,14,206.32,2,34,12,5,17,1
318975,330,475.1,4,24,17,7,6,0
328517,10,18634.7,9,347,28,16,38.55555556,1
328670,29,1054.77,10,79,74,32,7.9,1
329271,15,7821.45,31,441,190,79,14.22580645,1
329475,14,2055.51,12,182,151,38,15.16666667,1
337449,15,294.94,2,18,7,3,9,0
339091,18,1769.4,9,85,56,21,9.444444444,1
